Contratto Collettivo di Lavoro dei Laboratori di Protesi Dentaria 2014 - 2004,contratto-collettivo-di-lavoro-dei-laboratori-di-protesi-dentaria-2014,Switzerland,fr,2004
Contratto Collettivo di Lavoro per il ramo dei Servizi di Sicurezza Privati 2014 - 2014,contratto-collettivo-di-lavoro-per-il-ramo-dei-servizi-di-sicurezza-privati-2014,Switzerland,fr,2014
Contratto Collettivo di Lavoro per il Settore del Prestito di Personale 2011 - 2012,contratto-collettivo-di-lavoro-per-il-settore-del-pestito-di-personale-2011,Switzerland,fr,2012
Contratto Collettivo di Lavoro per il Settore dell’ Infrastruttura di Rete 2018 - 2018,contratto-collettivo-di-lavoro-per-il-settore-dell-infrastruttura-di-rete-2018,Switzerland,fr,2018
Contratto Collettivo di Lavoro per l'Iindustria Svizzera dei Mobili 2013 - 2013,contratto-collettivo-di-lavoro-per-l-iindustria-svizzera-dei-mobili-2013,Switzerland,fr,2013
Contratto Collettivo di Lavoro per le Costruzioni Ferroviarie - 2000,collective-bargaining-agreement-for-railway-construction-1998,Switzerland,fr,2000
Contratto Collettivo di Lavoro per la Posa di Ponteggi 2013 - 2013,contratto-collettivo-di-lavoro-per-la-posa-di-ponteggi-2013,Switzerland,fr,2013
Contratto Collettivo Nazionale di Lavoro dell’Industria Alberghiera e della Ristorazione 1998 - 1999,contratto-collettivo-nazionale-di-lavoro-dell-industria-alberghiera-e-della-ristorazione-1998,Switzerland,fr,1999
Contratto Collettivo Nazionale per la Professione di Parrucchiere 2010 - 2010,contratto-collettivo-nazionale-per-la-professione-di-parrucchiere-2010,Switzerland,fr,2010
Contratto collettivo di lavoro per il settore dei contact center e call center 2018 - 2018,contratto-collettivo-di-lavoro-per-il-settore-dei-contact-center-e-call-center-2018,Switzerland,fr,2018
Contratto collettivo di lavoro per l’industria svizzera dei prodotti in calcestruzzo 2003 - 2003,contratto-collettivo-di-lavoro-per-l-industria-svizzera-dei-prodotti-in-calcestruzzo-2003,Switzerland,fr,2003
Contratto collettivo di lavoro per il settore della panetteria-pasticceria-confetteria artigianale svizzera concluso il 7 ottobre 2014 - 2014,contratto-collettivo-di-lavoro-per-il-settore-della-panetteria-pasticceria-confetteria-artigianale-svizzera-concluso-il-7-ottobre-2014,Switzerland,fr,2014
"European Appendix to ABB Group Social Policy, 2009 - 2009",european-appendix-to-abb-group-social-policy-2009,Switzerland,en,2009
LSO CGM GROUP - 2004,recognition-and-procedural-agreement-between-cgm-group-and-factory-workers-union-fawu---2004,Lesotho,en,2004
LSO ACE Apparel [PTY] LTD - 2009,collective-bargaining-agreement-between-ace-apparel-pty-ltd-and-factory-workers-union-fawu---2009,Lesotho,en,2009
LSO CBI Low Voltage - Lesotho - 2008,recognition-and-procedural-agreement-between-cbi-low-voltage---lesotho-and-factory-workers-union-fawu-,Lesotho,en,2008
LSO Tern Sportswear [PTY] LTD - 2011,recognition-and-procedural-agreement-between-tern-sportswear-pty-ltd-and-factory-workers-union-fawu-,Lesotho,en,2011
"LSO Nien Hsing International [PTY] LTD, LSO C&Y Garments - 2006",memorandum-of-understanding-between-nien-hsing-international-pty-ltd-and-c-y-garments-and-factory-workers-union-fawu-,Lesotho,en,2006
"ISS - UNI GLOBAL AGREEMENT, 2008 - 2008",iss---uni-global-agreement-2008,Denmark,en,2008
Aftale mellem KL og Forhandlingsfællesskabet om overenskomst- og aftalefornyelsen pr. 1 april 2018 - 2018,aftale-mellem-kl-og-forhandlingsf-llesskabet-om-overenskomst--og-aftalefornyelsen-pr-1-april-2018,Denmark,da,2018
Danish public sector industrial relations and welfare services in times of trouble -,danish-public-sector-industrial-relations-and-welfare-services-in-times-of-trouble,Denmark,da,
Lederaftalen 3. udgave (kommenteret) - 2007 - 2007,lederaftalen-3-udgave-kommenteret---2007,Denmark,da,2007
