cba,language,readability,diveristy,accessibility
contratto-collettivo-di-lavoro-dei-laboratori-di-protesi-dentaria-2014,fr,2.67,2.5,2.57
contratto-collettivo-di-lavoro-per-il-ramo-dei-servizi-di-sicurezza-privati-2014,fr,5.0,3.75,4.29
contratto-collettivo-di-lavoro-per-il-settore-del-pestito-di-personale-2011,fr,3.33,4.0,3.71
contratto-collettivo-di-lavoro-per-il-settore-dell-infrastruttura-di-rete-2018,fr,2.0,3.0,2.57
contratto-collettivo-di-lavoro-per-l-iindustria-svizzera-dei-mobili-2013,fr,2.67,2.75,2.71
collective-bargaining-agreement-for-railway-construction-1998,fr,2.33,3.75,3.14
contratto-collettivo-di-lavoro-per-la-posa-di-ponteggi-2013,fr,5.0,4.0,4.43
contratto-collettivo-nazionale-di-lavoro-dell-industria-alberghiera-e-della-ristorazione-1998,fr,3.33,2.75,3.0
contratto-collettivo-nazionale-per-la-professione-di-parrucchiere-2010,fr,5.0,2.5,3.57
contratto-collettivo-di-lavoro-per-il-settore-dei-contact-center-e-call-center-2018,fr,5.0,2.75,3.71
contratto-collettivo-di-lavoro-per-l-industria-svizzera-dei-prodotti-in-calcestruzzo-2003,fr,2.33,2.25,2.29
contratto-collettivo-di-lavoro-per-il-settore-della-panetteria-pasticceria-confetteria-artigianale-svizzera-concluso-il-7-ottobre-2014,fr,2.33,3.5,3.0
european-appendix-to-abb-group-social-policy-2009,en,2.0,3.75,2.88
recognition-and-procedural-agreement-between-cgm-group-and-factory-workers-union-fawu---2004,en,2.5,2.5,2.5
collective-bargaining-agreement-between-ace-apparel-pty-ltd-and-factory-workers-union-fawu---2009,en,4.0,3.0,3.5
recognition-and-procedural-agreement-between-cbi-low-voltage---lesotho-and-factory-workers-union-fawu-,en,2.5,2.75,2.62
recognition-and-procedural-agreement-between-tern-sportswear-pty-ltd-and-factory-workers-union-fawu-,en,2.25,3.0,2.62
memorandum-of-understanding-between-nien-hsing-international-pty-ltd-and-c-y-garments-and-factory-workers-union-fawu-,en,2.5,3.25,2.88
iss---uni-global-agreement-2008,en,2.0,3.25,2.62
aftale-mellem-kl-og-forhandlingsf-llesskabet-om-overenskomst--og-aftalefornyelsen-pr-1-april-2018,da,5.0,3.0,3.86
danish-public-sector-industrial-relations-and-welfare-services-in-times-of-trouble,da,3.0,3.0,3.0
lederaftalen-3-udgave-kommenteret---2007,da,1.0,2.5,1.86
resultatet-af-forhandlingerne-mellem-ministeren-for-offentlig-innovation-og-centralorganisationernes-f-llesudvalg---2018,da,2.33,2.5,2.43
formandsoverenskomsten-mellem-dansk-byggeri-og-dansk-formands-forening---2017,da,1.33,3.25,2.43
overenskomst-mellem-hk-handel-og-coop-danmark-a-s---2017,da,2.33,2.0,2.14
collective-agreement-between-hilfr-aps-and-3f-private-service-hotel-and-restaurant-2018---2019,en,2.0,3.0,2.5
vvs-overenskomsterne_2014-2017,da,4.0,2.75,3.29
f-devareoverenskomst-f-devareforbundet-nnf_brugsforeningernes-arbejdsgiverforening,da,3.0,2.0,2.43
overenskomst-storbutikkernes-forhandlingsudvalg_3f_2014-2017,da,3.67,2.5,3.0
overenskomst-ba_sbl_hk,da,3.0,2.25,2.57
overenskomst-sfu_sbl_hk_2014-2017,da,2.0,2.25,2.14
cba_dansk-erhverv-arbejdsgiver-hk-privat-hk-handel_2014-2017,da,1.33,2.5,2.0
cba_dansk-erhverv-arbejdsgiver-hk-handel_2014-2017,da,1.0,2.5,1.86
ftehim-kollettiv-bejn-simonds-farsons-cisk-plc-it-taqsima-lukandi-ikel-u-xorb-tal-union-addiema-mag-qudin-addiema-klerikali-2014---2018,mt,1.0,1.0,1.0
ftehim-kollettiv-bejn-simonds-farsons-cisk-plc-u-t-taqsima-ospitalit-u-ikel-tal-general-workers-union-01-01-2014---31-12-2018,mt,1.0,1.0,1.0
ftehim-kollettiv-bejn-quintano-foods-ltd-u-it--taqsima-ospitalit-u-ikel-tal-general-workers-union-2017-2019-,mt,1.0,1.0,1.0
collective-agreement-for-employees-in-the-public-service---2011,en,2.0,2.75,2.38
kv_vida-wk-_2020,de,3.67,3.0,3.29
kv-angestellte-in-pharmazeutischen-gro-handel-at-2016,de,2.0,2.0,2.0
kv-angestellte-und-lehrlinge-in-handelsbetrieb-at-2016,de,2.67,2.5,2.57
kv_garagen-tankstellen-servicestationsunternehmugen-vida-2016,de,1.67,2.25,2.0
