cba_id,overtime_trig,annuleav_trig,N_ALs,comp_scores
acordo-coletivo-entre-a-ren---redes-energ-ticas-nacionais-sgps-sa-e-outras-e-a-fiequimetal-2015,1,1,0,3.67
medief-retagen-fd-sif-mia---2017,1,1,0,3.67
cao-carrosseriebedrijf-2019-2020,1,1,1,5
industriarbetsgivarna-st-l--och-metallindustrin---2017,1,1,0,3.67
ccnl-impiegati-amministrativi-agenzie-generali-di-generali-italia-s-p-a-2018-2020,1,1,0,3.67
convention-collective-mines-et-carrieres,1,1,0,3.67
collective-agreement-between-better-best-academy-and-union-of-education-agriculture-general-service-workers,1,0,0,2.33
collective-agreement-between-milani-limited-and-union-of-education-agriculture-and-general-services-workers,1,1,0,3.67
collective-agreement-between-bomarts-farms-limited-and-union-of-education-agriculture-and-general-services-workers,1,1,1,5
collective-agreement-for-alisa-hotels-accra-and-the-national-union-of-teamsters-and-general-workers-,1,1,0,3.67
collective-agreement-between-neat-foods-ghana-limited-and-union-of-education-agriculture-and-general-services-workers-uneages-of-gfl,1,1,0,3.67
collective-agreement-between-financial-business-and-services-employees-union-fbseu-of-ghana-federation-of-labour-gfl-and-intercom-programming-and-manufacturing-company-ipmc-limited,1,1,0,3.67
collective-agreement-between-adamus-resources-limited-nzema-operations-and-general-manufacturing-and-metal-workers-union-gmm-of-ghana-federation-of-labour-gfl-,0,1,0,2.33
collective-agreement-between-financial-business-and-services-employees-union-fbseu-of-ghana-federation-of-labour-gfl-and-cob-a-industries-limited,0,1,1,3.67
collective-agreement-between-satellite-trans-ltd-and-agrana-ghana-ltd-the-national-union-of-teamsters-and-general-workers-nuteg-of-ghana-federation-of-labour-gfl-,1,1,0,3.67
collective-agreement-between-quality-insurance-company-limited-and-the-industrial-and-commercial-workers-union-icu-of-ghana,1,1,1,5
collective-agreement-between-polytex-industries-limited-and-the-industrial-and-commercial-workers-union-ghana-,1,0,0,2.33
collective-agreement-between-the-industrial-and-commercial-workers-union-i-c-u-of-ghana-and-the-crocodile-matchets-ghana-limited-,1,0,0,2.33
collective-agreement-between-golden-exotics-limited-general-agricultural-workers-union-of-ghana-trades-union-congress-gawu-of-tuc-,1,1,0,3.67
collective-agreement-between-hotel-investments-ghana-limited-and-the-union-of-industry-commerce-and-finance-workers,0,1,0,2.33
collective-agreement-between-agricare-limited-and-general-agricultural-workers-union-of-g-t-u-c,1,1,0,3.67
collective-agreement-between-sae-power-lines-s-r-l---ghana-operations-and-the-construction-building-materials-workers-union-of-the-ghana-trades-union-congress-gtuc-,1,1,0,3.67
collective-agreement-between-qualiplast-limited-and-the-industrial-and-commercial-workers-union,1,1,1,5
collective-bargaining-agreement-between-neoplan-ghana-limited-and-the-industrial-and-commercial-workers-union-of-ghana,1,1,0,3.67
collective-bargaining-agreement-between-metro-mass-transit-limited-and-the-general-transport-petroleum-and-chemical-workers-union-of-ghana-tuc,1,1,0,3.67
